,created_at,document,document_url,appeal,type,iso,description,id,name,translation_module_original_language
46,2024-03-04T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=807768,"{'id': 3658, 'code': 'MDRTT002', 'event': {'dtype': 12, 'id': 6281, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2022-12-08T00:00:00Z', 'name': 'Trinidad and Tobago: Floods', 'translation_module_original_language': 'en'}, 'start_date': '2022-12-08T00:00:00Z'}",DREF Operation Final Report,TT,MDRTT002fr,11546,Trinidad and Tobago - Floods (MDRTT002),en
47,2023-11-30T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=766652,"{'id': 3681, 'code': 'MDRUY004', 'event': {'dtype': 20, 'id': 6330, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-01-29T00:00:00Z', 'name': 'URUGUAY: Drought', 'translation_module_original_language': 'es'}, 'start_date': '2023-01-29T00:00:00Z'}",DREF Operation Final Report,UY,MDRUY004fr,10383,DREF Operation Final Report,en
48,2023-08-29T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=724225,"{'id': 3675, 'code': 'MDRCL015', 'event': {'dtype': 15, 'id': 6314, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2022-12-31T00:00:00Z', 'name': 'CHILE: Fires Viña del Mar', 'translation_module_original_language': 'es'}, 'start_date': '2022-12-31T00:00:00Z'}",DREF Operation Final Report,CL,MDRCL015fr,10231,DREF Operation Final Report,en
49,2023-08-28T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=723811,"{'id': 3664, 'code': 'MDRBA014', 'event': {'dtype': 12, 'id': 6291, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2022-12-24T00:00:00Z', 'name': 'BIH: Flood - 2022-12 - Flood', 'translation_module_original_language': 'en'}, 'start_date': '2022-12-24T00:00:00Z'}",DREF Operation Final Report,BA,MDRBA014dfr,10225,DREF Operation Final Report,en
50,2024-06-07T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=839249,"{'id': 3738, 'code': 'MDRHT020', 'event': {'dtype': 12, 'id': 6493, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-06-18T00:00:00Z', 'name': 'HTI: Floods - 2023 - 06 - Haiti Floods', 'translation_module_original_language': 'fr'}, 'start_date': '2023-06-18T00:00:00Z'}",DREF Operation Final Report,HT,MDRHT020fr,14509,Haiti - Floods June 2023 (MDRHT020),en
51,2024-06-30T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=839363,"{'id': 3763, 'code': 'MDRVN023', 'event': {'dtype': 12, 'id': 6592, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-08-17T00:00:00Z', 'name': 'VNM: Flood - 2023-08 - VNM: Flood - 2023-08 - flash flood and landslide', 'translation_module_original_language': 'en'}, 'start_date': '2023-08-17T00:00:00Z'}",DREF Operation Final Report,VN,MDRVN023dfr,14529,Viet Nam - Flash floods (MDRVN023),en
52,2024-06-10T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=839259,"{'id': 3785, 'code': 'MDRGT021', 'event': {'dtype': 7, 'id': 6657, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-10-02T00:00:00Z', 'name': 'GTM: Civil Unrest - 2023-09 - Protests in Guatemala Electoral Process 2023', 'translation_module_original_language': 'es'}, 'start_date': '2023-10-02T00:00:00Z'}",DREF Operation Final Report,GT,MDRGT021fr,14510,Guatemala - Civil Unrest (MDRGT021),en
53,2024-08-01T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=839611,"{'id': 3760, 'code': 'MDRLB014', 'event': {'dtype': 7, 'id': 6570, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-08-10T00:00:00Z', 'name': 'LBN: Civil Unrest - 2023-07 - Ain Al Helwe Clashes', 'translation_module_original_language': 'en'}, 'start_date': '2023-08-10T00:00:00Z'}",DREF Operation Final Report,LB,MDRLB014fr,14624,Lebanon - Civil Unrest (MDRLB014),en
54,2024-07-17T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=839514,"{'id': 3751, 'code': 'MDRCG021', 'event': {'dtype': 13, 'id': 6552, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-07-29T00:00:00Z', 'name': 'COG: Other - 2023-07 - Cholera Epidemic - Shigellosis and Tyhoid Fever', 'translation_module_original_language': 'fr'}, 'start_date': '2023-07-29T00:00:00Z'}",DREF Operation Final Report,CG,MDRCG021dfr,14626,Republic of Congo - Cholera Outbreak (MDRCG021),en
55,2024-07-04T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=839413,"{'id': 3753, 'code': 'MDRCM034', 'event': {'dtype': 12, 'id': 6554, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-08-03T00:00:00Z', 'name': 'WRC: Flood - 2023-07 - FLOODS FAKO', 'translation_module_original_language': 'fr'}, 'start_date': '2023-08-03T00:00:00Z'}",DREF Operation Final Report,CM,MDRCM034dfr,14564,Cameroon - Floods (MDRCM034),en
